"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"92086031402","Servei d'Atenció, Recuperació i Acollida","#","C","Marie Curie","16","16","48","la Guineueta","08","Nou Barris","08042","019","BARCELONA","41.437293","2.170401","430692.332","4587634.653","430784.265","4587835.639","932915910","Tel.","","01/01","31/12","0000011","08:00:00","20:00:00","","Equips d'atenció a l'infància i adolescència","Serveis socials","Serveis socials",
"92086031402","Servei d'Atenció, Recuperació i Acollida","#","C","Marie Curie","16","16","48","la Guineueta","08","Nou Barris","08042","019","BARCELONA","41.437293","2.170401","430692.332","4587634.653","430784.265","4587835.639","932915910","Tel.","","01/01","31/12","0000011","09:00:00","15:00:00","","Equips d'atenció a l'infància i adolescència","Serveis socials","Serveis socials",
"92086031402","Servei d'Atenció, Recuperació i Acollida","#","C","Marie Curie","16","16","48","la Guineueta","08","Nou Barris","08042","019","BARCELONA","41.437293","2.170401","430692.332","4587634.653","430784.265","4587835.639","932915910","Tel.","","01/01","31/12","0000011","09:00:00","13:00:00","","Equips d'atenció a l'infància i adolescència","Serveis socials","Serveis socials",
"92086031402","Servei d'Atenció, Recuperació i Acollida","#","C","Marie Curie","16","16","48","la Guineueta","08","Nou Barris","08042","019","BARCELONA","41.437293","2.170401","430692.332","4587634.653","430784.265","4587835.639","932915910","Tel.","","01/01","31/12","0000011","08:00:00","20:00:00","","","Equips d'atenció a la infància i adolescència","Serveis Socials",
"92086031402","Servei d'Atenció, Recuperació i Acollida","#","C","Marie Curie","16","16","48","la Guineueta","08","Nou Barris","08042","019","BARCELONA","41.437293","2.170401","430692.332","4587634.653","430784.265","4587835.639","932915910","Tel.","","01/01","31/12","0000011","09:00:00","15:00:00","","","Equips d'atenció a la infància i adolescència","Serveis Socials",
"92086031402","Servei d'Atenció, Recuperació i Acollida","#","C","Marie Curie","16","16","48","la Guineueta","08","Nou Barris","08042","019","BARCELONA","41.437293","2.170401","430692.332","4587634.653","430784.265","4587835.639","932915910","Tel.","","01/01","31/12","0000011","09:00:00","13:00:00","","","Equips d'atenció a la infància i adolescència","Serveis Socials",
"92140160556","Equip d'Atenció a la Infància i Adolescència *Ciutat Vella-Raval Nord","#","C","Nou de la Rambla","45","45","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.377328","2.172506","430804.547","4580975.747","430896.483","4581176.672","932564860","Centraleta","","","","","","","","Equips d'atenció a l'infància i adolescència","Serveis socials","Serveis socials",
"92140160556","Equip d'Atenció a la Infància i Adolescència *Ciutat Vella-Raval Nord","#","C","Nou de la Rambla","45","45","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.377328","2.172506","430804.547","4580975.747","430896.483","4581176.672","932564860","Centraleta","","","","","","","","","Equips d'atenció a la infància i adolescència","Serveis Socials",
"92140160556","Equip d'Atenció a la Infància i Adolescència *Ciutat Vella-Raval Nord","#","C","Nou de la Rambla","45","45","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.377328","2.172506","430804.547","4580975.747","430896.483","4581176.672","934418885","Fax","","","","","","","","","Equips d'atenció a la infància i adolescència","Serveis Socials",
"92140160556","Equip d'Atenció a la Infància i Adolescència *Ciutat Vella-Raval Nord","#","C","Nou de la Rambla","45","45","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.377328","2.172506","430804.547","4580975.747","430896.483","4581176.672","934418885","Fax","","","","","","","","Equips d'atenció a l'infància i adolescència","Serveis socials","Serveis socials",
